,user,text,favorite_count,retweet_count,created_at
51,F1,"Less than one lap into the race, and disaster struck 😩

#BrazilGP #F1 https://t.co/Nj6D7ohLM6",4747,284,2022-11-13 23:45:00+00:00
52,F1,"🤏 19 points between Ferrari and Mercedes
🤏 19 points between Alpine and McLaren

#BrazilGP #F1 https://t.co/57Dm1LQsml",10326,708,2022-11-13 23:37:00+00:00
53,F1,"Drama for Lewis and Max in Brazil 😱

#BrazilGP #F1 https://t.co/kxWTURTv8A",3734,388,2022-11-13 23:30:00+00:00
54,F1,"After a tough time in Saturday's #F1Sprint, a majestic turnaround for the @AlpineF1Team duo on Sunday!

Double points for @OconEsteban and @alo_oficial 💪

#BrazilGP #F1 https://t.co/ZEVXLX7zOs",5676,239,2022-11-13 23:21:00+00:00
55,F1,"This man finished fourth on Sunday.

An epic comeback from @Charles_Leclerc 👏

#BrazilGP #F1 @ScuderiaFerrari https://t.co/sAUZ9GNtCT",15582,1028,2022-11-13 23:16:00+00:00
56,F1,"📍 On top of the world!

#BrazilGP #F1 @MercedesAMGF1 https://t.co/sPfBC6vjhi",18877,1218,2022-11-13 23:07:00+00:00
57,F1,"The drinks are on you, right @Carlossainz55? 😉🍻

#BrazilGP #F1 https://t.co/BcHrxsmH3K",29184,1716,2022-11-13 22:55:00+00:00
58,F1,"A huge collision for Charles Leclerc... but amazingly, he recovered to fourth! 😱

#BrazilGP #F1 https://t.co/rAcCTSxfTZ",4580,462,2022-11-13 22:47:11+00:00
59,F1,"Tension after the flag for Max and Checo 🏁

#BrazilGP #F1 https://t.co/hyEX5OZwa9",81336,8355,2022-11-13 22:32:00+00:00
60,F1,"Catch up on one of the races of the season!

#BrazilGP #F1",1652,107,2022-11-13 22:20:00+00:00
61,F1,"Clash of the titans 💥

#BrazilGP #F1 https://t.co/FI7yybKlab",16096,760,2022-11-13 22:11:28+00:00
62,F1,"Quick chat with the boss before some well-earned bubbly! 🍾

#BrazilGP #F1 https://t.co/QWwR1p6UMs",6737,537,2022-11-13 21:51:03+00:00
63,F1,"The genuine happiness on @LandoNorris's face for one of his best buddies 🥺

#BrazilGP #F1 @GeorgeRussell63 https://t.co/nImU9PA6t8",12376,627,2022-11-13 21:37:00+00:00
64,F1,"George Russell is the type of guy who wins Formula 1 races.

#BrazilGP #F1

https://t.co/ZKSpQ77Yjy",3332,238,2022-11-13 21:33:00+00:00
65,F1,"That battle for second rumbles on to Yas Marina!

#BrazilGP #F1 https://t.co/GxeSHYETz1",26291,1584,2022-11-13 21:24:46+00:00
66,F1,"21st time's the charm for @MercedesAMGF1 💪

#BrazilGP #F1 https://t.co/9ct5Q25axd",6515,556,2022-11-13 21:05:57+00:00
67,F1,"That kid with a dream is now a Grand Prix winner. 🥹

#BrazilGP #F1 https://t.co/i1cncEHhX5",24761,2130,2022-11-13 20:50:33+00:00
68,F1,"After 71 laps of mayhem, these lot take home the points 👇

#BrazilGP #F1 https://t.co/f9JXRGG9iJ",9876,1208,2022-11-13 20:29:46+00:00
69,F1,"The first of how many 1-2s for George and Lewis? 

#BrazilGP #F1 https://t.co/YamOesV7gk",10608,774,2022-11-13 20:27:24+00:00
70,F1,"Three years ago, @Carlossainz55 took his first podium at Interlagos... now, he picks up the 15th of his career!

Vamos, Carlos 💪

#BrazilGP #F1 https://t.co/QRrKX3fVuG",9315,720,2022-11-13 20:24:11+00:00
71,F1,"LAP CHARTS

That. Was. Nuts. 🔀

#BrazilGP #F1 https://t.co/sYa4bAett3",7530,620,2022-11-13 20:18:49+00:00
72,F1,"God Save The King rings out on an F1 podium for the first time 🇬🇧

#BrazilGP #F1 https://t.co/G02RpMUigA",22365,1431,2022-11-13 20:15:44+00:00
73,F1,"He won the Sprint on Saturday, and on Sunday he went the distance! Your newest Grand Prix winner, Mr @GeorgeRussell63!

#BrazilGP #F1 https://t.co/97SGdUOXig",12340,1659,2022-11-13 20:11:09+00:00
74,F1,"And breathe! 😅

Full classification after the most edge-of-your-seat race of 2022!

#BrazilGP #F1 https://t.co/HUKJLAYUuO",4960,640,2022-11-13 20:09:01+00:00
75,F1,"Lewis Hamilton do Brasiiiiil! 🇧🇷

@LewisHamilton's P2 drive earns him #F1DriverOfTheDay in Sao Paulo 👏

#BrazilGP #F1 @salesforce https://t.co/Xjvx9daXwp",54452,5945,2022-11-13 20:06:40+00:00
76,F1,"King George 👑

#BrazilGP #F1 https://t.co/ttyVnPCWfI",47235,4346,2022-11-13 19:59:54+00:00
77,F1,"First victory? That deserves a video call from the boss! 🤳

#BrazilGP #F1 https://t.co/GkASPv3XAj",17342,1269,2022-11-13 19:56:36+00:00
78,F1,"The emotions come flooding out for our new winner 🥺

Yes @GeorgeRussell63... you really did THAT!

#BrazilGP #F1 https://t.co/BLVZrWfjkb",34852,2840,2022-11-13 19:50:39+00:00
79,F1,"Our 113th Grand Prix winner... GEORGE!! 🖤

#BrazilGP #F1 https://t.co/1xcXwwsaqd",69132,9227,2022-11-13 19:47:02+00:00
80,F1,"GEORGE RUSSELL IS A GRAND PRIX WINNER!

He masterfully takes his maiden win, and @MercedesAMGF1's first of 2022!

#BrazilGP #F1 @GeorgeRussell63 https://t.co/TkY17hWQAY",89419,16197,2022-11-13 19:42:50+00:00
81,F1,"LAP 70/71

Just one more to go for @MercedesAMGF1 👏

#BrazilGP #F1 https://t.co/afy0v7deIx",3740,264,2022-11-13 19:41:21+00:00
82,F1,"LAPS 63-64/71

Sainz sneaks past Perez for third! One lap later, Leclerc blasts through past the Red Bull to take fourth

#BrazilGP #F1 https://t.co/OrKeDMvfQH",2204,190,2022-11-13 19:34:33+00:00
83,F1,"LAP 60/71

We're back at it in Brazil! Russell leads Hamilton, Perez, Sainz... and Leclerc moves up to fifth!

#BrazilGP #F1 https://t.co/fkfw0ODfUM",1925,204,2022-11-13 19:29:22+00:00
84,F1,"This one's impossible to call... who's taking the win?!

#BrazilGP #F1",1570,106,2022-11-13 19:24:04+00:00
